displayName,leagueCountry,firstName,lastName,leagueShortname,fullName,leagueName,countryAbbr,shortName,id
Ashley Young,England,Ashley,Young,Premier League,Ashley Young,Barclays Premier League,ENG,A. Young,31810
Pablo Zabaleta,England,Pablo,Zabaleta,Premier League,Pablo Zabaleta,Barclays Premier League,ENG,P. Zabaleta,68058
Wilfried Zaha,England,Wilfried,Zaha,Premier League,Wilfried Zaha,Barclays Premier League,ENG,W. Zaha,146324
Bobby Zamora,England,Bobby,Zamora,Premier League,Bobby Zamora,Barclays Premier League,ENG,B. Zamora,5500
Kurt Zouma,England,Kurt,Zouma,Premier League,Kurt Zouma,Barclays Premier League,ENG,K. Zouma,159319
Mauro Zárate,England,Mauro,Zárate,Premier League,Mauro Zárate,Barclays Premier League,ENG,M. Zárate,69133
Ricardo Álvarez,England,Ricardo,Álvarez,Premier League,Ricardo Álvarez,Barclays Premier League,ENG,R. Álvarez,161562
Mesut Özil,England,Mesut,Özil,Premier League,Mesut Özil,Barclays Premier League,ENG,M. Özil,84775
Nani,England,Nani,,Premier League,,Barclays Premier League,ENG,Nani,67716
John Swift,England,John,Swift,Premier League,John Swift,Barclays Premier League,ENG,J. Swift,4775
Wojciech Szczesny,England,Wojciech,Szczesny,Premier League,Wojciech Szczesny,Barclays Premier League,ENG,W. Szczesny,131634
Alexis Sánchez,England,Alexis,Sánchez,Premier League,Alexis Sánchez,Barclays Premier League,ENG,A. Sánchez,92055
José Enrique,England,José,Sánchez Díaz,Premier League,José Enrique Sánchez Díaz,Barclays Premier League,ENG,J. Sánchez Díaz,68594
Adel Taarabt,England,Adel,Taarabt,Premier League,Adel Taarabt,Barclays Premier League,ENG,A. Taarabt,87623
Dusan Tadic,England,Dusan,Tadic,Premier League,Dusan Tadic,Barclays Premier League,ENG,D. Tadic,122575
Alan Tate,England,Alan,Tate,Premier League,Alan Tate,Barclays Premier League,ENG,A. Tate,16380
Cabral,England,Adilson Cabral,Tavares Varela,Premier League,Adilson Cabral Tavares Varela,Barclays Premier League,ENG,A. Tavares Varela,125941
Matthew Taylor,England,Matthew,Taylor,Premier League,Matthew Taylor,Barclays Premier League,ENG,M. Taylor,6136
Neil Taylor,England,Neil,Taylor,Premier League,Neil Taylor,Barclays Premier League,ENG,N. Taylor,107571
Ryan Taylor,England,Ryan,Taylor,Premier League,Ryan Taylor,Barclays Premier League,ENG,R. Taylor,16216
Steven Taylor,England,Steven,Taylor,Premier League,Steven Taylor,Barclays Premier League,ENG,S. Taylor,17812
Gary Taylor-Fletcher,England,Gary,Taylor-Fletcher,Premier League,Gary Taylor-Fletcher,Barclays Premier League,ENG,G. Taylor-Fletcher,6190
Dionatan do Nascimento Teixeira,England,Dionatan,Teixeira,Premier League,Dionatan do Nascimento Teixeira,Barclays Premier League,ENG,D. Teixeira,205604
John Terry,England,John,Terry,Premier League,John Terry,Barclays Premier League,ENG,J. Terry,8931
Jerome Thomas,England,Jerome,Thomas,Premier League,Jerome Thomas,Barclays Premier League,ENG,J. Thomas,16703
Dwight Tiendalli,England,Dwight,Tiendalli,Premier League,Dwight Tiendalli,Barclays Premier League,ENG,D. Tiendalli,46034
Ismael Tioté,England,Ismael,Tioté,Premier League,Ismael Tioté,Barclays Premier League,ENG,I. Tioté,73076
James Tomkins,England,James,Tomkins,Premier League,James Tomkins,Barclays Premier League,ENG,J. Tomkins,104917
Aleksandar Tonev,England,Aleksandar,Tonev,Premier League,Aleksandar Tonev,Barclays Premier League,ENG,A. Tonev,149910
Fernando Torres,England,Fernando,Torres,Premier League,Fernando Torres,Barclays Premier League,ENG,F. Torres,24257
Kolo Touré,England,Kolo,Touré,Premier League,Kolo Touré,Barclays Premier League,ENG,K. Touré,23601
Yaya Touré,England,Yaya,Touré,Premier League,Yaya Touré,Barclays Premier League,ENG,Y. Touré,69277
Andros Townsend,England,Andros,Townsend,Premier League,Andros Townsend,Barclays Premier League,ENG,A. Townsend,132432
Conor Townsend,England,Conor,Townsend,Premier League,Conor Townsend,Barclays Premier League,ENG,C. Townsend,168309
Armand Traore,England,Armand,Traore,Premier League,Armand Traore,Barclays Premier League,ENG,A. Traore,89374
Gerhard Tremmel,England,Gerhard,Tremmel,Premier League,Gerhard Tremmel,Barclays Premier League,ENG,G. Tremmel,84678
Keiran Trippier,England,Keiran,Trippier,Premier League,Keiran Trippier,Barclays Premier League,ENG,K. Trippier,143637
José Ulloa,England,José,Ulloa,Premier League,José Leonardo Ulloa,Barclays Premier League,ENG,J. Ulloa,67327
Matthew Upson,England,Matthew,Upson,Premier League,Matthew Upson,Barclays Premier League,ENG,M. Upson,8046
Antonio Valencia,England,Antonio,Valencia,Premier League,Antonio Valencia,Barclays Premier League,ENG,A. Valencia,65629
Enner Valencia,England,Enner,Valencia,Premier League,Enner Valencia,Barclays Premier League,ENG,E. Valencia,171771
Patrick Van Aanholt,England,Patrick,Van Aanholt,Premier League,Patrick Van Aanholt,Barclays Premier League,ENG,P. Van Aanholt,138746
Marco van Ginkel,England,Marco,van Ginkel,Premier League,Marco van Ginkel,Barclays Premier League,ENG,M. van Ginkel,146519
Robin van Persie,England,Robin,van Persie,Premier League,Robin van Persie,Barclays Premier League,ENG,R. van Persie,18858
Jamie Vardy,England,Jamie,Vardy,Premier League,Jamie Vardy,Barclays Premier League,ENG,J. Vardy,165648
Gullermo Varela,England,Gullermo,Varela,Premier League,Gullermo Varela,Barclays Premier League,ENG,G. Varela,188368
Ricardo Vaz Te,England,Ricardo,Vaz Te,Premier League,Ricardo Vaz Te,Barclays Premier League,ENG,R. Vaz Te,101268
Milos Veljkovic,England,Milos,Veljkovic,Premier League,Milos Veljkovic,Barclays Premier League,ENG,M. Veljkovic,197342
Thomas Vermaelen,England,Thomas,Vermaelen,Premier League,Thomas Vermaelen,Barclays Premier League,ENG,T. Vermaelen,40543
Jan Vertonghen,England,Jan,Vertonghen,Premier League,Jan Vertonghen,Barclays Premier League,ENG,J. Vertonghen,125086
João Carlos,England,,Vilaça Teixeira,Premier League, Vilaça Teixeira,Barclays Premier League,ENG,Vilaça Teixeira,169318
Ron Vlaar,England,Ron,Vlaar,Premier League,Ron Vlaar,Barclays Premier League,ENG,R. Vlaar,127433
Sam Vokes,England,Sam,Vokes,Premier League,Sam Vokes,Barclays Premier League,ENG,S. Vokes,93365
Michel Vorm,England,Michel,Vorm,Premier League,Michel Vorm,Barclays Premier League,ENG,M. Vorm,19705
Haris Vuckic,England,Haris,Vuckic,Premier League,Haris Vuckic,Barclays Premier League,ENG,H. Vuckic,130526
Theo Walcott,England,Theo,Walcott,Premier League,Theo Walcott,Barclays Premier League,ENG,T. Walcott,67507
Kyle Walker,England,Kyle,Walker,Premier League,Kyle Walker,Barclays Premier League,ENG,K. Walker,129358
Ross Wallace,England,Ross,Wallace,Premier League,Ross Wallace,Barclays Premier League,ENG,R. Wallace,21486
Jonathan Walters,England,Jonathan,Walters,Premier League,Jonathan Walters,Barclays Premier League,ENG,J. Walters,23770
Pablo Zabaleta,England,Pablo,Zabaleta,Premier League,Pablo Zabaleta,Barclays Premier League,ENG,P. Zabaleta,68058
Gregor Zabret,England,Gregor,Zabret,Premier League,Gregor Zabret,Barclays Premier League,ENG,G. Zabret,188337
Wilfried Zaha,England,Wilfried,Zaha,Premier League,Wilfried Zaha,Barclays Premier League,ENG,W. Zaha,146324
Bobby Zamora,England,Bobby,Zamora,Premier League,Bobby Zamora,Barclays Premier League,ENG,B. Zamora,5500
Gideon Zelalem,England,Gideon,Zelalem,Premier League,Gideon Zelalem,Barclays Premier League,ENG,G. Zelalem,192048
Kurt Zouma,England,Kurt,Zouma,Premier League,Kurt Zouma,Barclays Premier League,ENG,K. Zouma,159319
Bruno Zuculini,England,Bruno,Zuculini,Premier League,Bruno Zuculini,Barclays Premier League,ENG,B. Zuculini,144267
Mauro Zárate,England,Mauro,Zárate,Premier League,Mauro Zárate,Barclays Premier League,ENG,M. Zárate,69133
Mesut Özil,England,Mesut,Özil,Premier League,Mesut Özil,Barclays Premier League,ENG,M. Özil,84775
Nani,England,Nani,,Premier League,,Barclays Premier League,ENG,Nani,67716
